,index,Unnamed: 0,cd_name,cd_number,borough,pop_2000,pop_2010,pop_estimate_acs,pop_change_00_10,pop_pct_female_under_5,pop_pct_female_5_9,pop_pct_female_10_14,pop_pct_female_15_19,pop_pct_female_20_24,pop_pct_female_25_29,pop_pct_female_30_34,pop_pct_female_35_39,pop_pct_female_40_44,pop_pct_female_45_49,pop_pct_female_50_54,pop_pct_female_55_59,pop_pct_female_60_64,pop_pct_female_65_69,pop_pct_female_70_74,pop_pct_female_75_79,pop_pct_female_80_84,pop_pct_female_85_over,pop_pct_male_under_5,pop_pct_male_5_9,pop_pct_male_10_14,pop_pct_male_15_19,pop_pct_male_20_24,pop_pct_male_25_29,pop_pct_male_30_34,pop_pct_male_35_39,pop_pct_male_40_44,pop_pct_male_45_49,pop_pct_male_50_54,pop_pct_male_55_59,pop_pct_male_60_64,pop_pct_male_65_69,pop_pct_male_70_74,pop_pct_male_75_79,pop_pct_male_80_84,pop_pct_male_85_over,under18_rate,moe_under18_rate,over65_rate,moe_over65_rate,pop_nrml,DropOffAllocation,pop_per_drop
0,34,34,Manhattan Community District 5,105,Manhattan,44028,51673,76405,0.17,1.9,1.3,0.8,3.1,4.9,8.3,6.2,4.5,2.9,2.5,2.8,3.1,2.5,2.0,1.6,1.1,0.9,1.1,1.6,0.8,0.8,1.4,3.4,7.5,7.2,4.4,3.5,3.0,2.8,3.0,2.2,2.5,1.5,1.2,0.8,0.8,8.4,1.0,13.6,0.9,70518.34200445551,2.0,35259.171002227755
1,30,30,Manhattan Community District 1,101,Manhattan,34420,60978,75100,0.77,3.6,2.2,1.4,1.7,3.9,6.3,6.6,5.3,4.2,3.3,2.4,2.3,2.3,1.7,1.3,0.6,0.7,1.1,3.7,2.6,1.9,1.4,3.0,5.4,6.1,5.3,4.6,3.7,2.7,2.4,2.2,1.5,1.0,0.7,0.3,0.6,16.7,1.1,9.5,0.7,69313.88632333759,2.0,34656.943161668794
2,1,1,Bronx Community District 2,202,Bronx,46824,52246,70144,0.12,3.3,3.5,3.4,3.8,3.3,4.5,4.6,4.1,2.9,3.5,3.3,2.6,2.1,1.8,1.3,1.1,0.8,0.8,4.6,4.1,4.0,3.8,4.5,4.4,4.2,3.1,2.5,2.7,2.8,2.8,2.0,1.1,0.8,0.8,0.3,0.3,27.5,1.2,9.2,0.6,64739.72359872426,1.0,64739.72359872426
3,17,17,Brooklyn Community District 6,306,Brooklyn,104054,104709,131528,0.01,3.9,3.1,1.9,1.7,2.5,5.5,6.7,5.6,4.2,3.6,2.8,2.4,2.4,2.1,1.6,1.0,0.8,0.7,4.3,2.6,2.3,1.8,1.5,4.3,5.8,5.1,4.3,3.8,2.6,2.3,2.0,1.6,1.3,0.7,0.5,0.3,21.0,0.8,10.7,0.5,121394.36538396734,2.0,60697.18269198367
4,9,9,Bronx Community District 10,210,Bronx,115948,120392,130526,0.04,2.9,2.5,2.4,2.5,2.9,4.1,3.3,3.8,3.0,3.6,3.7,3.4,3.7,3.0,2.6,2.4,1.5,2.3,2.8,2.8,3.0,2.7,3.5,2.8,2.9,3.0,3.6,3.0,3.1,2.7,3.1,2.2,2.0,1.3,1.1,0.7,19.4,1.1,19.0,0.8,120469.56492995955,2.0,60234.78246497978
5,33,33,Manhattan Community District 4,104,Manhattan,87479,103245,129797,0.18,2.0,0.9,1.0,1.1,3.9,6.7,6.8,3.9,3.0,2.9,2.2,2.9,2.9,2.3,2.3,1.8,0.6,1.1,1.7,1.1,1.1,1.0,3.2,6.6,7.1,5.1,4.9,4.0,3.8,3.6,3.0,2.3,1.3,1.1,0.7,0.4,8.8,0.7,13.8,0.8,119796.73106671438,2.0,59898.36553335719
6,47,47,Queens Community District 6,406,Queens,115967,113257,128579,-0.02,2.9,2.9,2.0,1.5,1.9,3.6,4.3,4.3,3.7,3.4,3.4,4.2,3.9,3.4,2.7,2.0,1.8,2.2,3.6,2.1,1.9,1.4,1.9,3.3,4.2,3.3,3.2,3.1,2.9,3.7,3.2,3.0,1.8,1.4,1.0,1.0,17.2,0.8,20.3,0.6,118672.57243100432,2.0,59336.28621550216
7,40,40,Manhattan Community District 11,111,Manhattan,117743,120511,128205,0.02,2.8,2.5,2.6,3.2,4.0,4.9,4.3,4.2,3.5,3.4,3.5,3.5,2.9,2.3,1.6,1.7,1.2,1.4,2.9,2.8,3.2,3.1,4.0,5.2,4.2,3.2,2.8,2.4,3.2,2.4,2.4,1.5,1.0,0.8,0.5,0.7,20.4,1.1,12.8,0.5,118327.387431205,2.0,59163.6937156025
8,52,52,Queens Community District 11,411,Queens,116404,116431,128135,0.0,2.3,2.1,2.5,2.3,2.2,3.1,3.1,3.1,3.7,3.6,4.4,3.9,3.7,3.5,2.4,1.9,1.4,2.1,3.0,2.5,2.7,2.5,2.2,3.2,2.8,3.3,3.0,3.4,3.9,3.8,3.3,3.3,2.2,1.6,1.1,1.2,18.2,0.8,20.7,0.6,118262.78061306075,2.0,59131.390306530375
9,24,24,Brooklyn Community District 13,313,Brooklyn,106120,104278,127081,-0.02,3.1,2.7,2.3,2.5,2.7,3.0,3.2,2.9,3.2,3.3,3.5,3.5,3.8,4.0,2.7,2.9,2.0,2.5,3.2,2.8,2.9,2.3,2.6,3.9,2.5,2.7,2.4,2.8,3.1,3.2,2.7,3.0,1.8,1.9,1.3,1.2,19.9,1.0,23.3,0.6,117289.98652271723,2.0,58644.99326135861
